MSA,MSA_NO,unemp_2015,unemp_2016,unemp_2017,unemp_2018,unemp_2019,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
Waterloo-Cedar Falls,47940,4.2,4.3,3.2,2.6,3.3,167920,168443,168811,169853,170450,170852,170110,169359,168936,168522
Wheeling,48540,6.3,5.7,5.5,4.9,5.5,147899,147260,146527,145938,144968,144157,142955,141255,140059,138948
Wichita,48620,4,4.3,3.4,3.4,3.2,623887,625327,628159,630365,632810,635551,637653,637511,637519,640218
Wichita Falls,48660,4.2,4.2,3.2,3.2,2.9,151649,150311,151040,151448,151867,150083,150327,150956,150955,151254
Williamsport,48700,5.4,6,5.5,4.6,5.6,116225,116748,117222,116598,116290,115598,114876,114012,113866,113299
Wilmington,48900,5.3,4.7,4.3,3.7,3,705897,709351,712014,715004,717286,719602,720748,721253,722940,723993
Winchester,49020,3.7,3.4,3,2.6,2.3,128652,129954,130910,132278,133526,134284,135739,138020,139492,140566
Winston-Salem,49180,4.9,4.6,4.2,3.5,3.2,641245,644266,646794,649901,653250,656277,661024,666640,671129,676008
Worcester,49340,4.8,3,3.3,2.9,2.7,918935,922378,924856,928346,932278,934604,936422,942147,946113,947404
Yakima,49420,10.3,9.9,8.2,8.6,8.3,244256,245926,246127,246485,246870,247800,249327,249922,250562,250873
York-Hanover,49620,3.4,4,3.8,3.3,3.8,435413,436701,437466,438932,440475,441741,443693,445484,447847,449058
Youngstown-Warren-Boardman,49660,6.9,5.9,5.7,6,5.4,564826,562347,558530,555850,553039,548798,544582,541545,538226,536081
Yuba City,49700,10.5,9.8,8.1,7.3,6.7,167099,166971,166963,167597,168311,169327,170694,172782,173905,175639
Yuma,49740,17.6,15.3,15.7,14.7,14.5,197127,202841,202475,202420,204054,205186,207247,209507,211612,213787
Beckley,13220,7.3,6,6.1,5.4,5.3,124949,125266,125110,124356,123342,122070,120475,118673,117154,115767
Bloomsburg-Berwick,14100,4.2,4.9,4.7,4.3,5.1,85657,85449,85472,85592,85538,84980,84390,83851,83455,83194
Daphne-Fairhope-Foley,19300,5.6,5.6,3.3,3.4,2.4,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234
East Stroudsburg,20700,5,5.8,5.4,4.8,5.7,169849,169891,168628,167355,167285,166481,166220,167895,169294,170271
Gettysburg,23900,3,3.6,3.2,2.9,3.3,101479,101474,101254,101137,101353,101808,101911,102562,103062,103009
Grand Island,24260,3.5,3.5,3.1,2.9,2.9,72936,73547,74238,74652,75240,75319,75598,75456,75476,75553
Grants Pass,24420,7.3,5.5,5.1,5.8,3.9,82879,82702,82755,83131,83377,84528,85504,86584,87150,87487
Hammond,25220,5.8,6.1,4.4,5.2,5.6,121485,122700,123646,125520,127010,128716,130619,132353,133837,134758
Homosassa Springs,26140,6.6,6.7,5.4,4.9,4,141173,139764,139180,138829,138828,140287,142804,145415,147682,149657
New Bern,35100,5.6,5.2,4.7,4.2,3.4,127423,128135,128409,127172,126778,125371,124985,124703,124584,124284
Sierra Vista-Douglas,43420,6.6,5.4,5.2,5.8,5.3,131822,133097,132017,129578,127314,126454,125686,124864,126411,125922
The Villages,45540,6.6,6.6,5,4.8,4,94278,97975,101669,106898,112236,117076,122009,124995,128719,132420
Walla Walla,47460,6.4,6.4,5.4,5.5,4.8,58915,59444,59329,59361,59510,59932,60008,60512,60615,60760
Watertown-Fort Drum,48060,6.8,7,7.2,5.9,6.8,116592,117752,120235,118490,117971,116371,112980,113157,111866,109834
